,Main_Mass_Flow,Additive_1_Ratio,Additive_2_Ratio,Additive_3_Ratio,Additive_4_Ratio,Additive_5_Ratio,Additive_6_Ratio,Flow_Gas_Ratio,T_Zone_1,T_Zone_2,T_Zone_3,T_Zone_4,T_Zone_5,T_Zone_6,T_Zone_7,T_Zone_8,T_Zone_9,T_Zone_10,Blending,Quality,T_Increase_1,T_Increase_2,T_Increase_3,T_Increase_4,T_Increase_5,T_Increase_6,T_Increase_7,T_Increase_8,T_Increase_9
768,19554.64453125,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.0167970657348597,197.9798583984375,188.894485473633,187.354537963867,174.132110595703,175.938201904297,179.74851989746102,174.027862548828,179.699859619141,180.854782104492,168.54675292968798,28.0,42.81,0,0,0,1,1,0,1,1,0
769,19557.16796875,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.00678277015686,197.9798583984375,188.661834716797,186.87580871582,173.49523925781202,173.743698120117,178.065032958984,172.278717041016,178.563812255859,179.795013427734,167.73678588867202,28.0,43.4775,0,0,0,1,1,0,1,1,0
770,20050.107421875,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.0031099319457994,197.9798583984375,188.561325073242,186.27294921875,173.59411621093798,173.22459411621102,177.4521484375,171.356094360352,177.41833496093798,179.061096191406,166.918518066406,28.0,44.145,0,0,0,0,1,0,1,1,0
771,20047.8671875,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.99672174453735,197.9798583984375,189.07453918457,185.95568847656202,173.08033752441398,172.079208374023,176.641220092773,170.827987670898,178.200286865234,180.032958984375,167.497634887695,28.0,44.8125,0,0,0,0,1,0,1,1,0
772,20050.296875,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.99588084220886,197.9798583984375,188.66227722168,185.744323730469,172.73634338378898,173.774826049805,177.897811889648,171.245956420898,177.2421875,178.666152954102,166.524353027344,28.0,45.48,0,0,0,1,1,0,1,1,0
773,20041.48046875,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.01918721199036,197.9798583984375,188.510528564453,186.186172485352,173.01477050781202,172.631729125977,177.000915527344,170.279235839844,177.150604248047,178.947448730469,165.948486328125,28.0,45.5625,0,0,0,0,1,0,1,1,0
774,20035.533203125,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.00343561172485,197.9798583984375,188.36979675293,186.30647277832,173.081237792969,173.336273193359,177.982498168945,172.463104248047,178.326477050781,180.004211425781,167.00842285156202,28.0,45.645,0,0,0,1,1,0,1,1,0
775,20032.009765625,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.0068330764770494,197.9798583984375,188.275833129883,185.779113769531,172.743118286133,172.378112792969,176.825988769531,170.197708129883,176.77516174316398,178.447296142578,165.641906738281,28.0,45.7275,0,0,0,0,1,0,1,1,0
776,20032.064453125,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.00688934326172,197.9798583984375,188.5556640625,186.191604614258,173.552200317383,173.414413452148,178.088760375977,172.609909057617,178.746932983398,179.89208984375,166.180587768555,28.0,45.81,0,0,0,0,1,0,1,1,0
777,20044.318359375,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.00081157684326,197.9798583984375,188.545944213867,185.705657958984,173.183456420898,173.623184204102,178.307052612305,172.900802612305,178.403610229492,179.76794433593798,166.17996215820298,28.0,45.555,0,0,0,1,1,0,1,1,0
