"","Date.Time","Main_Mass_Flow","Additive_1_Ratio","Additive_2_Ratio","Additive_3_Ratio","Additive_4_Ratio","Additive_5_Ratio","Additive_6_Ratio","Flow_Gas_Ratio","Pressure","T_Zone_1","T_Zone_2","T_Zone_3","T_Zone_4","T_Zone_5","T_Zone_6","T_Zone_7","T_Zone_8","T_Zone_9","T_Zone_10","Blending","Quality"
"1238431",2017-03-27 02:02:00,20330.4609375,0.000694099988322705,0.0769239738583565,0.000875999976415187,0.00350000010803342,0.000970799999777228,0.00524999992921948,3.10538506507874,0,198.808792114258,190.340927124023,196.183517456055,174.251235961914,175.036178588867,176.282470703125,168.245971679688,175.368759155273,178.227111816406,173.807464599609,28,45.42
"1238991",2017-03-27 02:58:00,20331.91015625,0.000694099988322705,0.0758823528885841,0.000875999976415187,0.00350000010803342,0.000970799999777228,0.00524999992921948,3.10553646087646,0,198.820297241211,190.237335205078,196.665222167969,174.520904541016,175.797164916992,178.249084472656,169.888534545898,176.562881469727,179.457443237305,174.480102539062,28,45.63
"1239561",2017-03-27 03:55:00,20302.9765625,0.000694099988322705,0.0715239122509956,0.000875999976415187,0.00350000010803342,0.000970799999777228,0.00524999992921948,3.08592844009399,0,198.929183959961,190.066711425781,196.12141418457,174.191619873047,174.074279785156,175.748870849609,168.471099853516,175.302230834961,178.800415039062,174.548187255859,28,45.84
"1240101",2017-03-27 04:49:00,20290.732421875,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.00350000010803342,0.000970799999777228,0.00524999992921948,3.1067316532135,0,198.946853637695,190.050186157227,196.285797119141,174.323089599609,176.254333496094,178.439498901367,170.83171081543,177.453521728516,180.09455871582,175.51643371582,28,45.8525
"1240681",2017-03-27 05:47:00,20308.0546875,0.000694099988322705,0.0663338527083397,0.000875999976415187,0.00350000010803342,0.000970799999777228,0.00524999992921948,3.09552121162415,0,198.79052734375,189.406875610352,195.809494018555,174.093017578125,175.094085693359,177.004928588867,169.508941650391,176.847473144531,179.600769042969,175.219268798828,28,45.865
"1241211",2017-03-27 06:40:00,20312.80859375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.00350000010803342,0.000970799999777228,0.00524999992921948,3.09781050682068,0,199.039855957031,189.357604980469,195.452285766602,174.256622314453,174.668319702148,177.262313842773,170.105117797852,177.059600830078,180.293548583984,175.675552368164,28,45.8775
"1241771",2017-03-27 07:36:00,20329.875,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.00350000010803342,0.000970799999777228,0.00524999992921948,3.09827852249146,0,199.000610351562,189.672256469727,195.858413696289,174.410079956055,175.46728515625,178.40022277832,170.653121948242,177.409683227539,180.449508666992,176.069488525391,28,45.89
"1242361",2017-03-27 08:35:00,20296.86328125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.00350000010803342,0.000970799999777228,0.00524999992921948,3.10976028442383,0,199.121887207031,189.625793457031,196.114959716797,174.702194213867,177.139846801758,179.153945922852,171.797775268555,178.210250854492,181.217971801758,176.223541259766,28,46.01
"1242951",2017-03-27 09:34:00,20322.58203125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.00350000010803342,0.000970799999777228,0.00524999992921948,3.11618757247925,0,199.100692749023,189.761734008789,195.841262817383,174.790542602539,175.747451782227,178.704681396484,170.682647705078,178.095336914062,180.978210449219,175.911361694336,28,46.13
"1243531",2017-03-27 10:32:00,19794.70703125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.00350000010803342,0.000970799999777228,0.00524999992921948,3.09842586517334,0,198.783676147461,189.875671386719,196.641708374023,174.994400024414,178.23469543457,180.061889648438,173.223175048828,179.92170715332,182.459411621094,177.143249511719,28,46.25
"1244111",2017-03-27 11:30:00,18994.076171875,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.00350000010803342,0.000970799999777228,0.00524999992921948,3.10694265365601,0,199.237777709961,190.358795166016,196.606185913086,175.304397583008,178.520919799805,181.059951782227,174.255432128906,180.561599731445,183.368286132812,177.924667358398,28,46.37
"1244691",2017-03-27 12:28:00,19773.59765625,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.09874129295349,0,199.046478271484,189.725036621094,196.5830078125,175.183044433594,176.882736206055,179.636703491211,172.631286621094,179.212356567383,182.588714599609,177.198959350586,28,46.49
"1245311",2017-03-27 13:30:00,19775.55078125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.0923707485199,0,199.032073974609,189.74267578125,196.187072753906,175.256240844727,178.336761474609,180.881683349609,173.527770996094,179.989562988281,182.509674072266,177.484146118164,28,47.34
